job_title,skills
3D Designer,"3D modeling, 3D modeling tools, Spatial Design, Spatial Understanding, Texture Mapping, Lighting"
3D Artist,"3D modeling, 3D modeling tools, Spatial Design, Spatial Understanding, Texture Mapping, Lighting"
3D Modeler,"3D modeling, 3D modeling tools, Spatial Design, Spatial Understanding, Texture Mapping, Lighting"
CGI Designer,"3D modeling, 3D modeling tools, Spatial Design, Spatial Understanding, Texture Mapping, Lighting"
AI Developer,"Python, R, Machine Learning, Deep learning, Data Structures, Algorithms, Statistical analysis, SQL, Cloud Platforms, Big Data, Version Control"
Machine Learning Engineer,"Python, R, Algorithms, Deep learning, Data Structures, Machine Learning, Statistical analysis, SQL, Distributed computing, Cloud Platforms, Statistical analysis, Big Data, Code Efficiency, Version Control"
AI Engineer,"Python, R, Algorithms, Deep learning, Data Structures, Machine Learning, Statistical analysis, SQL, Distributed computing, Cloud Platforms, Statistical analysis, Big Data, Code Efficiency, Version Control"
AI Specialist,"Python, R, Machine Learning, Deep learning, Data Structures, Algorithms, Statistical analysis, SQL, Cloud Platforms, Big Data, Version Control"
Data Scientist,"Python, R, Algorithms, Deep learning, Data Structures, Machine Learning, Statistical analysis, SQL, Distributed computing, Cloud Platforms, Statistical analysis, Big Data, Code Efficiency, Version Control"
AI Research Scientist,"Python, R, Algorithms, Deep learning, Data Structures, Machine Learning, Statistical analysis, SQL, Distributed computing, Cloud Platforms, Statistical analysis, Big Data, Code Efficiency, Version Control"
Machine Learning Scientist,"Python, R, Machine Learning, Deep learning, Data Structures, Algorithms, Statistical analysis, SQL, Cloud Platforms, Big Data, Version Control"
Deep Learning Engineer,"Python, R, Machine Learning, Deep learning, Data Structures, Algorithms, Statistical analysis, SQL, Cloud Platforms, Big Data, Version Control"
Natural Language Processing Engineer,"Python, R, Machine Learning, Deep learning, Data Structures, Algorithms, Statistical analysis, SQL, Cloud Platforms, Big Data, Version Control"
Robotics Engineer,"Python, R, Machine Learning, Deep learning, Data Structures, Algorithms, Statistical analysis, SQL, Cloud Platforms, Big Data, Version Control"
"Computer Vision Engineer,","Python, R, Machine Learning, Deep learning, Data Structures, Algorithms, Statistical analysis, SQL, Cloud Platforms, Big Data, Version Control"
Algorithm Engineer,"C++, Python, Java, Data Structures, Algorithms, Mathematics, Machine Learning, High-performance computing, Git, Debugging, Code Efficiency, Version Control"
Data Analyst,"C++, Python, Java, Data Structures, Algorithms, Mathematics, Machine Learning, High-performance computing, Git, Debugging, Code Efficiency, Version Control"
Computer Vision Engineer,"C++, Python, Java, Data Structures, Algorithms, Mathematics, Machine Learning, High-performance computing, Git, Debugging, Code Efficiency, Version Control"
"Business Intelligence Developer,","C++, Python, Java, Data Structures, Algorithms, Mathematics, Machine Learning, High-performance computing, Git, Debugging, Code Efficiency, Version Control"
Application Developer,"HTML, CSS, JavaScript, ReactJS, Back-end Programming, User Experience Design, SQL, Git, Software Testing, Web Security, Responsive Design, RESTful APIs, Python, Application frameworks, Databases, Front-End Frameworks, Version Control"
